"day_night","team","wins","num_games","day_night_win_pct","league","division"
"day","Arizona Diamondbacks",16,27,0.5925925925925926,"National League","NL West"
"night","Arizona Diamondbacks",27,45,0.6,"National League","NL West"
"day","Atlanta Braves",16,25,0.64,"National League","NL East"
"night","Atlanta Braves",29,46,0.6304347826086957,"National League","NL East"
"day","Baltimore Orioles",17,31,0.5483870967741935,"American League","AL East"
"night","Baltimore Orioles",27,40,0.675,"American League","AL East"
"day","Boston Red Sox",14,25,0.56,"American League","AL East"
"night","Boston Red Sox",23,47,0.48936170212765956,"American League","AL East"
"day","Chicago Cubs",14,33,0.42424242424242425,"National League","NL Central"
"night","Chicago Cubs",19,38,0.5,"National League","NL Central"
"day","Chicago White Sox",13,35,0.37142857142857144,"American League","AL Central"
"night","Chicago White Sox",18,38,0.47368421052631576,"American League","AL Central"
"day","Cincinnati Reds",14,31,0.45161290322580644,"National League","NL Central"
"night","Cincinnati Reds",23,41,0.5609756097560976,"National League","NL Central"
"day","Cleveland Guardians",16,28,0.5714285714285714,"American League","AL Central"
"night","Cleveland Guardians",17,43,0.3953488372093023,"American League","AL Central"
"day","Colorado Rockies",13,29,0.4482758620689655,"National League","NL West"
"night","Colorado Rockies",16,45,0.35555555555555557,"National League","NL West"
"day","Detroit Tigers",13,37,0.35135135135135137,"American League","AL Central"
"night","Detroit Tigers",17,33,0.5151515151515151,"American League","AL Central"
"day","Houston Astros",12,24,0.5,"American League","AL West"
"night","Houston Astros",27,48,0.5625,"American League","AL West"
"day","Kansas City Royals",10,31,0.3225806451612903,"American League","AL Central"
"night","Kansas City Royals",9,40,0.225,"American League","AL Central"
"day","Los Angeles Angels",15,25,0.6,"American League","AL West"
"night","Los Angeles Angels",26,49,0.5306122448979592,"American League","AL West"
"day","Los Angeles Dodgers",12,25,0.48,"National League","NL West"
"night","Los Angeles Dodgers",27,47,0.574468085106383,"National League","NL West"
"day","Miami Marlins",21,36,0.5833333333333334,"National League","NL East"
"night","Miami Marlins",20,36,0.5555555555555556,"National League","NL East"
"day","Milwaukee Brewers",17,32,0.53125,"National League","NL Central"
"night","Milwaukee Brewers",20,39,0.5128205128205128,"National League","NL Central"
"day","Minnesota Twins",19,36,0.5277777777777778,"American League","AL Central"
"night","Minnesota Twins",17,36,0.4722222222222222,"American League","AL Central"
"day","New York Mets",15,34,0.4411764705882353,"National League","NL East"
"night","New York Mets",18,36,0.5,"National League","NL East"
"day","New York Yankees",19,26,0.7307692307692307,"American League","AL East"
"night","New York Yankees",20,46,0.43478260869565216,"American League","AL East"
"day","Oakland Athletics",4,32,0.125,"American League","AL West"
"night","Oakland Athletics",15,42,0.35714285714285715,"American League","AL West"
"day","Philadelphia Phillies",21,33,0.6363636363636364,"National League","NL East"
"night","Philadelphia Phillies",17,39,0.4358974358974359,"National League","NL East"
"day","Pittsburgh Pirates",15,33,0.45454545454545453,"National League","NL Central"
"night","Pittsburgh Pirates",19,37,0.5135135135135135,"National League","NL Central"
"day","San Diego Padres",13,26,0.5,"National League","NL West"
"night","San Diego Padres",22,45,0.4888888888888889,"National League","NL West"
"day","San Francisco Giants",17,34,0.5,"National League","NL West"
"night","San Francisco Giants",22,37,0.5945945945945946,"National League","NL West"
"day","Seattle Mariners",10,25,0.4,"American League","AL West"
"night","Seattle Mariners",25,45,0.5555555555555556,"American League","AL West"
"day","St. Louis Cardinals",13,27,0.48148148148148145,"National League","NL Central"
"night","St. Louis Cardinals",16,45,0.35555555555555557,"National League","NL Central"
"day","Tampa Bay Rays",23,35,0.6571428571428571,"American League","AL East"
"night","Tampa Bay Rays",28,40,0.7,"American League","AL East"
"day","Texas Rangers",21,28,0.75,"American League","AL West"
"night","Texas Rangers",23,43,0.5348837209302325,"American League","AL West"
"day","Toronto Blue Jays",15,29,0.5172413793103449,"American League","AL East"
"night","Toronto Blue Jays",24,44,0.5454545454545454,"American League","AL East"
"day","Washington Nationals",15,32,0.46875,"National League","NL East"
"night","Washington Nationals",13,38,0.34210526315789475,"National League","NL East"
